invoice_num,amt_due,shipping_charge,order_type,status_flag
101,480.5,12.5,online,completed
102,320.0,15.0,in-store,completed
103,210.0,5.0,online,completed
104,650.0,20.0,in-store,pending
105,125.0,7.5,online,completed
106,295.0,10.0,online,completed
107,480.0,15.0,in-store,completed
108,530.0,18.0,online,completed
109,340.0,12.0,in-store,cancelled
110,225.0,8.0,online,completed
111,420.0,10.0,in-store,completed
112,315.0,9.5,online,completed
113,525.0,16.0,in-store,completed
114,190.0,11.0,online,completed
115,250.0,13.0,in-store,completed
116,340.0,6.0,online,completed
117,285.0,14.0,in-store,completed
118,220.0,9.0,online,completed
