invoice_id,total_sales,expense,category,region
INV001,9000,3000,A,North
INV002,11000,3500,B,South
INV003,12000,3700,A,North
INV004,9500,3300,C,West
INV005,10200,3400,A,East
INV006,14800,5500,B,North
INV007,9400,3100,A,South
INV008,15000,7000,C,North
INV009,8600,2500,B,West
INV010,9700,3300,C,East
INV011,11000,3200,A,West
INV012,10400,2900,B,East
INV013,16900,7600,C,South
INV014,9700,3000,B,East
INV015,14400,6600,A,North
INV016,18500,8800,C,South
INV017,11200,3900,A,West
INV018,10900,3400,B,North
INV019,9300,2800,C,West
