ref_no,income_generated,money_spent,department,region
X001,23000,12000,R&D,North
X002,25000,11000,R&D,South
X003,24000,13000,Sales,West
X004,27000,14000,HR,East
X005,21000,11500,R&D,North
X006,22000,12500,Finance,South
X007,29000,16000,HR,West
X008,26000,14000,R&D,East
X009,28000,15500,Sales,North
X010,20000,9500,Finance,West
X011,27000,14500,Sales,North
X012,25000,13500,R&D,East
X013,30000,17500,HR,North
X014,26000,14500,Finance,West
X015,28000,15500,Sales,North
X016,31000,18500,HR,South
X017,22500,11500,R&D,West
