order_amount,status,ship_cost,customer_id,order_date
421.65,completed,15.0,11,2023-01-01
567.9,completed,16.0,12,2023-01-02
789.11,pending,17.0,13,2023-01-03
345.67,completed,18.0,14,2023-01-04
234.56,completed,19.0,15,2023-01-05
123.45,completed,20.0,16,2023-01-06
678.9,completed,21.0,17,2023-01-07
890.12,completed,22.0,18,2023-01-08
901.23,completed,23.0,19,2023-01-09
111.22,completed,24.0,20,2023-01-10
222.33,completed,25.0,21,2023-01-11
333.44,completed,26.0,22,2023-01-12
444.55,completed,27.0,23,2023-01-13
555.66,completed,28.0,24,2023-01-14
666.77,completed,29.0,25,2023-01-15
777.88,completed,30.0,26,2023-01-16
888.99,completed,31.0,27,2023-01-17
999.0,completed,32.0,28,2023-01-18
1000.11,completed,33.0,29,2023-01-19
